"Type","Site","Analyte","Sample.Date","ppt","lab.qual","limit","chain.length"
"WWTP","Northeast.Brunswick.Regional","PFBA",2019-07-08,10.6,"","","short"
"WWTP","Northeast.Brunswick.Regional","PFBS",2019-07-08,NA,"U","0.323","short"
"WWTP","Northeast.Brunswick.Regional","PFDS",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFDA",2019-07-08,2.45,"","","long"
"WWTP","Northeast.Brunswick.Regional","PFDoA",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFHpS",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFHpA",2019-07-08,11.7,"","","short"
"WWTP","Northeast.Brunswick.Regional","PFHxS",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFHxA",2019-07-08,27.9,"","","short"
"WWTP","Northeast.Brunswick.Regional","PFNS",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFNA",2019-07-08,1.69,"","","long"
"WWTP","Northeast.Brunswick.Regional","PFOSA",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","N-EtFOSAA",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","N-MeFOSAA",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","PFPeS",2019-07-08,NA,"U","0.323","short"
"WWTP","Northeast.Brunswick.Regional","PFPeA",2019-07-08,77.8,"","","short"
"WWTP","Northeast.Brunswick.Regional","PFTeA",2019-07-08,1.13,"","","long"
"WWTP","Northeast.Brunswick.Regional","PFTriA",2019-07-08,0.155,"JB","","long"
"WWTP","Northeast.Brunswick.Regional","PFUnA",2019-07-08,NA,"U","0.323","long"
"WWTP","Northeast.Brunswick.Regional","HFPO-DA",2019-07-08,NA,"U","11.3","long"
"WWTP","Northeast.Brunswick.Regional","PFOA",2019-07-08,12.9,"","","long"
"WWTP","Northeast.Brunswick.Regional","PFOS",2019-07-08,14.8,"","","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFBA",2019-07-08,NA,"U","1.23","short"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFBS",2019-07-08,NA,"U","1.23","short"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFDS",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFDA",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFDoA",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFHpS",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFHpA",2019-07-08,5.45,"","","short"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFHxS",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFHxA",2019-07-08,15.8,"B","","short"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFNS",2019-07-08,NA,"U","1.23","long"
"WWTP","City.of.Durham-South.Durham.Water.Reclamation","PFNA",2019-07-08,1.72,"","","long"
